file,status,duration_sec,shot_length_mean_sec,shot_length_median_sec,shots_per_min,shot_count,cuts_per_min,shot_length_cv,color_saturation_mean,color_saturation_temporal_var,motion_mean,motion_peak,flashing_events_per_min,audio_rms_mean,audio_rms_peak,audio_rms_temporal_var,audio_dynamic_range_db,audio_available,sensory_load_score,sensory_load_audio_available,sensory_load_pacing,sensory_load_saturation,sensory_load_motion,sensory_load_flashing,sensory_load_audio
SpongeBob SquarePants S01E01A Help Wanted.mp4,ok,543.75,3.601,2.503,16.662,151,16.552,1.13,0.4404,0.0115,0.0605,0.6506,6.179,0.02701,0.05187,8.4e-05,5.67,True,0.217,True,0.2759,0.4404,0.0605,0.206,0.135
SpongeBob SquarePants S01E01C Tea at the Treedome.mp4,ok,664.29,4.429,3.566,13.548,150,13.458,0.808,0.5706,0.0128,0.049,0.3654,4.516,0.03155,0.08592,0.000203,8.7,True,0.1941,True,0.2243,0.5706,0.049,0.1505,0.1578
SpongeBob SquarePants S01E03B Ripped.mp4,ok,664.16,4.369,2.794,13.732,152,13.641,1.004,0.4266,0.0127,0.061,0.4945,6.233,0.04678,0.09425,0.000332,6.08,True,0.2172,True,0.2273,0.4266,0.061,0.2078,0.2339
SpongeBob SquarePants S01E04B Boating School.mp4,ok,664.12,4.05,2.753,14.817,164,14.726,0.878,0.4477,0.0202,0.0609,0.5995,5.692,0.04535,0.10359,0.000287,7.18,True,0.2339,True,0.2454,0.4477,0.0609,0.1897,0.2268
SpongeBob SquarePants S01E05B Home Sweet Pineapple.mp4,ok,663.29,4.252,3.295,14.112,156,14.021,0.791,0.5643,0.0222,0.0502,0.7047,4.342,0.06487,0.15403,0.000535,7.51,True,0.252,True,0.2337,0.5643,0.0502,0.1447,0.3243
SpongeBob SquarePants S01E07B Jellyfish Jam.mp4,ok,663.66,3.667,2.336,16.364,181,16.273,1.46,0.5757,0.0186,0.0739,0.58,14.736,0.06314,0.14431,0.000536,7.18,True,0.73,True,1.0,0.8224,0.1478,1.0,0.6314
SpongeBob SquarePants S01E08B Squeaky Boots.mp4,ok,662.58,3.248,2.232,18.473,204,18.383,0.881,0.5035,0.0151,0.0757,0.5689,11.501,0.05533,0.10409,0.000444,5.49,True,0.3349,True,0.4596,0.5035,0.0757,0.46,0.2766
SpongeBob SquarePants S01E10B F.U.N..mp4,ok,663.66,3.587,2.336,16.725,185,16.635,0.981,0.544,0.025,0.0661,0.5627,8.408,0.05448,0.10446,0.000333,5.65,True,0.3,True,0.4159,0.544,0.0661,0.3363,0.2724
SpongeBob SquarePants S01E18B Walking Small.mp4,ok,671.8,4.42,3.211,13.576,152,13.486,0.833,0.4788,0.0137,0.0458,0.4915,2.858,0.05475,0.11278,0.000352,6.28,True,0.2191,True,0.3372,0.4788,0.0458,0.1143,0.2737
SpongeBob SquarePants S01E20B MermaidMan and Barnacleboy II.mp4,ok,673.67,4.291,2.795,13.983,157,13.894,0.909,0.4993,0.0157,0.0614,0.62,5.789,0.0467,0.10297,0.000209,6.87,True,0.2551,True,0.3473,0.4993,0.0614,0.2316,0.2335
